2013-06-02 01:50:32 configure mawk:armhf 1.3.3-17ubuntu1 1.3.3-17ubuntu1
2013-06-02 01:50:32 status unpacked mawk:armhf 1.3.3-17ubuntu1
2013-06-02 01:50:32 status half-configured mawk:armhf 1.3.3-17ubuntu1
2013-06-02 01:50:32 status installed mawk:armhf 1.3.3-17ubuntu1
2013-06-02 01:50:32 startup archives install
2013-06-02 01:50:32 install debconf:all <none> 1.5.49ubuntu1
2013-06-02 01:50:32 status half-installed debconf:all 1.5.49ubuntu1
2013-06-02 01:50:32 status unpacked debconf:all 1.5.49ubuntu1
2013-06-02 01:50:32 status unpacked debconf:all 1.5.49ubuntu1
2013-06-02 01:50:32 configure debconf:all 1.5.49ubuntu1 1.5.49ubuntu1
2013-06-02 01:50:32 status unpacked debconf:all 1.5.49ubuntu1
2013-06-02 01:50:32 status unpacked debconf:all 1.5.49ubuntu1
2013-06-02 01:50:32 status unpacked debconf:all 1.5.49ubuntu1
2013-06-02 01:50:32 status unpacked debconf:all 1.5.49ubuntu1
2013-06-02 01:50:32 status half-configured debconf:all 1.5.49ubuntu1
2013-06-02 01:50:34 status installed debconf:all 1.5.49ubuntu1
2013-06-02 01:50:34 startup archives unpack
2013-06-02 01:50:34 install adduser:all <none> 3.113+nmu3ubuntu1
2013-06-02 01:50:34 status half-installed adduser:all 3.113+nmu3ubuntu1
2013-06-02 01:50:35 status unpacked adduser:all 3.113+nmu3ubuntu1
2013-06-02 01:50:35 status unpacked adduser:all 3.113+nmu3ubuntu1
2013-06-02 01:50:35 upgrade base-files:armhf 6.12ubuntu2 6.12ubuntu2
2013-06-02 01:50:35 status half-configured base-files:armhf 6.12ubuntu2
2013-06-02 01:50:35 status unpacked base-files:armhf 6.12ubuntu2
2013-06-02 01:50:35 status half-installed base-files:armhf 6.12ubuntu2
2013-06-02 01:50:35 status half-installed base-files:armhf 6.12ubuntu2
2013-06-02 01:50:35 status unpacked base-files:armhf 6.12ubuntu2
2013-06-02 01:50:35 status unpacked base-files:armhf 6.12ubuntu2
2013-06-02 01:50:35 upgrade base-passwd:armhf 3.5.26 3.5.26
2013-06-02 01:50:35 status half-configured base-passwd:armhf 3.5.26
2013-06-02 01:50:35 status unpacked base-passwd:armhf 3.5.26
2013-06-02 01:50:35 status half-installed base-passwd:armhf 3.5.26
2013-06-02 01:50:35 status half-installed base-passwd:armhf 3.5.26
2013-06-02 01:50:35 status unpacked base-passwd:armhf 3.5.26
2013-06-02 01:50:35 status unpacked base-passwd:armhf 3.5.26
2013-06-02 01:50:35 install bash:armhf <none> 4.2-5ubuntu3
2013-06-02 01:50:35 status half-installed bash:armhf 4.2-5ubuntu3
2013-06-02 01:50:35 status unpacked bash:armhf 4.2-5ubuntu3
2013-06-02 01:50:35 status unpacked bash:armhf 4.2-5ubuntu3
2013-06-02 01:50:35 install bsdutils:armhf <none> 1:2.20.1-5.1ubuntu8
2013-06-02 01:50:35 status half-installed bsdutils:armhf 1:2.20.1-5.1ubuntu8
2013-06-02 01:50:35 status unpacked bsdutils:armhf 1:2.20.1-5.1ubuntu8
2013-06-02 01:50:35 status unpacked bsdutils:armhf 1:2.20.1-5.1ubuntu8
2013-06-02 01:50:35 install busybox-initramfs:armhf <none> 1:1.20.0-8ubuntu1
2013-06-02 01:50:35 status half-installed busybox-initramfs:armhf 1:1.20.0-8ubuntu1
2013-06-02 01:50:36 status unpacked busybox-initramfs:armhf 1:1.20.0-8ubuntu1
2013-06-02 01:50:36 status unpacked busybox-initramfs:armhf 1:1.20.0-8ubuntu1
2013-06-02 01:50:36 install coreutils:armhf <none> 8.20-3ubuntu5
2013-06-02 01:50:36 status half-installed coreutils:armhf 8.20-3ubuntu5
2013-06-02 01:50:36 status unpacked coreutils:armhf 8.20-3ubuntu5
2013-06-02 01:50:36 status unpacked coreutils:armhf 8.20-3ubuntu5
2013-06-02 01:50:36 install cpio:armhf <none> 2.11+dfsg-0.1ubuntu1
2013-06-02 01:50:36 status half-installed cpio:armhf 2.11+dfsg-0.1ubuntu1
2013-06-02 01:50:36 status unpacked cpio:armhf 2.11+dfsg-0.1ubuntu1
2013-06-02 01:50:36 status unpacked cpio:armhf 2.11+dfsg-0.1ubuntu1
2013-06-02 01:50:36 install dash:armhf <none> 0.5.7-3ubuntu1
2013-06-02 01:50:36 status half-installed dash:armhf 0.5.7-3ubuntu1
2013-06-02 01:50:36 status unpacked dash:armhf 0.5.7-3ubuntu1
2013-06-02 01:50:36 status unpacked dash:armhf 0.5.7-3ubuntu1
2013-06-02 01:50:37 upgrade debconf:all 1.5.49ubuntu1 1.5.49ubuntu1
2013-06-02 01:50:37 status half-configured debconf:all 1.5.49ubuntu1
2013-06-02 01:50:37 status unpacked debconf:all 1.5.49ubuntu1
2013-06-02 01:50:37 status half-installed debconf:all 1.5.49ubuntu1
2013-06-02 01:50:37 status half-installed debconf:all 1.5.49ubuntu1
2013-06-02 01:50:37 status unpacked debconf:all 1.5.49ubuntu1
2013-06-02 01:50:37 status unpacked debconf:all 1.5.49ubuntu1
2013-06-02 01:50:37 install debianutils:armhf <none> 4.3.4
2013-06-02 01:50:37 status half-installed debianutils:armhf 4.3.4
2013-06-02 01:50:37 status unpacked debianutils:armhf 4.3.4
2013-06-02 01:50:37 status unpacked debianutils:armhf 4.3.4
2013-06-02 01:50:37 install diffutils:armhf <none> 1:3.2-8
2013-06-02 01:50:37 status half-installed diffutils:armhf 1:3.2-8
2013-06-02 01:50:37 status unpacked diffutils:armhf 1:3.2-8
2013-06-02 01:50:37 status unpacked diffutils:armhf 1:3.2-8
2013-06-02 01:50:37 upgrade dpkg:armhf 1.16.10ubuntu1 1.16.10ubuntu1
2013-06-02 01:50:37 status half-configured dpkg:armhf 1.16.10ubuntu1
2013-06-02 01:50:38 status unpacked dpkg:armhf 1.16.10ubuntu1
2013-06-02 01:50:38 status half-installed dpkg:armhf 1.16.10ubuntu1
2013-06-02 01:50:38 status half-installed dpkg:armhf 1.16.10ubuntu1
2013-06-02 01:50:38 status unpacked dpkg:armhf 1.16.10ubuntu1
2013-06-02 01:50:38 status unpacked dpkg:armhf 1.16.10ubuntu1
2013-06-02 01:50:38 install e2fslibs:armhf <none> 1.42.5-1ubuntu4
2013-06-02 01:50:38 status half-installed e2fslibs:armhf 1.42.5-1ubuntu4
2013-06-02 01:50:38 status unpacked e2fslibs:armhf 1.42.5-1ubuntu4
2013-06-02 01:50:38 status unpacked e2fslibs:armhf 1.42.5-1ubuntu4
2013-06-02 01:50:38 install e2fsprogs:armhf <none> 1.42.5-1ubuntu4
2013-06-02 01:50:38 status half-installed e2fsprogs:armhf 1.42.5-1ubuntu4
2013-06-02 01:50:38 status unpacked e2fsprogs:armhf 1.42.5-1ubuntu4
2013-06-02 01:50:38 status unpacked e2fsprogs:armhf 1.42.5-1ubuntu4
2013-06-02 01:50:38 install findutils:armhf <none> 4.4.2-5ubuntu1
2013-06-02 01:50:38 status half-installed findutils:armhf 4.4.2-5ubuntu1
2013-06-02 01:50:39 status unpacked findutils:armhf 4.4.2-5ubuntu1
2013-06-02 01:50:39 status unpacked findutils:armhf 4.4.2-5ubuntu1
2013-06-02 01:50:39 install gcc-4.7-base:armhf <none> 4.7.3-1ubuntu1
2013-06-02 01:50:39 status half-installed gcc-4.7-base:armhf 4.7.3-1ubuntu1
